id,label
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,0
187,1
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,1
204,1
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,0
313,1
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,0
324,1
325,0
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,1
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,1
394,0
395,0
396,1
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,0
406,0
407,1
408,1
409,0
410,0
411,1
412,0
413,1
414,1
415,1
416,0
417,1
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,1
445,1
446,1
447,1
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,1
456,0
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,0
470,1
471,1
472,0
473,1
474,0
475,1
476,1
477,0
478,1
479,1
480,1
481,0
482,1
483,0
